query_index,neighbor_index,similarity_score,group_label
23126,228774,0.9899429082870483,1
23126,184754,0.9881008863449097,1
23126,170819,0.9876205921173096,1
23126,89756,0.9868026375770569,0
23126,170410,0.9861138463020325,1
8705,151025,0.9970495700836182,1
8705,152323,0.9968781471252441,1
8705,151059,0.9966669678688049,1
8705,148029,0.9965309500694275,1
8705,6403,0.9962658882141113,0
260235,261322,0.9750106334686279,1
260235,260458,0.974372148513794,1
260235,261249,0.9739884734153748,1
260235,262324,0.9730305075645447,1
260235,234911,0.969019889831543,1
261454,279293,0.9810442328453064,1
261454,272152,0.9810187816619873,1
261454,276541,0.9801886081695557,1
261454,263749,0.9797648191452026,1
261454,81105,0.9778242111206055,0
224234,79753,0.9912307262420654,0
224234,246580,0.9876431822776794,1
224234,65750,0.9874764084815979,0
224234,61084,0.9873512387275696,0
224234,198934,0.9868351221084595,1
263560,257540,0.9820443987846375,1
263560,214323,0.9804258346557617,1
263560,53204,0.9802775382995605,0
263560,265771,0.9791557788848877,1
263560,235169,0.9778661727905273,1
27446,27316,0.9963526725769043,0
27446,27409,0.9956624507904053,0
27446,170732,0.994040310382843,1
27446,171345,0.9935393929481506,1
27446,213678,0.9931442737579346,1
157108,156345,0.9948878288269043,1
157108,157121,0.9947109222412109,1
157108,11687,0.9945801496505737,0
157108,9238,0.9944140315055847,0
157108,4568,0.9942171573638916,0
24715,194477,0.9952622056007385,1
24715,48101,0.9946408867835999,0
24715,21179,0.9943158626556396,0
24715,5679,0.9941588640213013,0
24715,27508,0.9940024614334106,0
82924,267579,0.9765731692314148,1
82924,99502,0.9765331745147705,0
82924,169063,0.9761638045310974,1
82924,263530,0.9752894043922424,1
82924,91080,0.9743987321853638,0
154804,151296,0.9969992637634277,1
154804,7341,0.9963806867599487,0
154804,151248,0.9956943988800049,1
154804,7422,0.9929360747337341,0
154804,306162,0.9927517175674438,1
249980,252300,0.9914653301239014,1
249980,235280,0.9889513850212097,1
249980,272074,0.9879939556121826,1
249980,270023,0.9879152178764343,1
249980,256702,0.9875488877296448,1
167102,165876,0.9923776388168335,1
167102,164696,0.9920008778572083,1
167102,164718,0.990104079246521,1
167102,163239,0.9882441759109497,1
167102,192532,0.9872442483901978,1
85253,84885,0.9953519105911255,0
85253,85087,0.9947069883346558,0
85253,229695,0.9926082491874695,1
85253,54243,0.9923182725906372,0
85253,195695,0.99210524559021,1
235124,200038,0.9910633563995361,1
235124,68157,0.9879977703094482,0
235124,79678,0.9874730706214905,0
